Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,67.389999,67.900002,67.309998,67.779999,55.617847,377100
2012-01-04,68.230003,68.68,68.07,68.43,56.15121800000001,501600
2012-01-05,68.5,68.83000200000001,68.370003,68.620003,56.307120999999995,343700
2012-01-06,68.519997,68.599998,68.220001,68.510002,56.216868999999996,212000
2012-01-09,68.5,68.709999,68.220001,68.41999799999999,56.14301700000001,301700
2012-01-10,68.510002,68.910004,68.440002,68.66999799999999,56.348147999999995,352800
2012-01-11,68.199997,68.68,67.860001,68.599998,56.290714,257900
2012-01-12,68.07,68.309998,67.879997,68.139999,55.913245999999994,512900
2012-01-13,68.07,68.449997,68.0,68.260002,56.011711,223200
2012-01-17,67.93,68.019997,67.610001,67.639999,55.502964,456700
2012-01-18,67.58000200000001,68.029999,67.269997,67.849998,55.675289,906500
2012-01-19,68.589996,69.290001,68.559998,69.089996,56.692783,934300
2012-01-20,70.370003,71.41999799999999,70.300003,71.400002,58.588291000000005,704100
2012-01-23,71.230003,71.589996,71.0,71.150002,58.383163,641900
2012-01-24,72.010002,72.400002,71.5,72.33000200000001,59.351402,636300
2012-01-25,73.209999,74.389999,72.879997,74.220001,60.902283,1152600
2012-01-26,74.769997,74.879997,74.389999,74.589996,61.205906000000006,837900
2012-01-27,73.889999,74.209999,73.400002,73.57,60.368912,427000
2012-01-30,72.93,73.33000200000001,72.470001,73.110001,59.991459,263100
2012-01-31,73.739998,74.0,73.190002,73.480003,60.295074,313200
2012-02-01,74.910004,75.449997,74.910004,75.199997,61.70642900000001,500500
2012-02-02,76.139999,76.379997,75.910004,76.230003,62.551613,516300
2012-02-03,76.459999,76.769997,76.269997,76.470001,62.748562,501200
2012-02-06,77.58000200000001,78.08000200000001,77.400002,77.709999,63.766048,662900
2012-02-07,79.480003,80.0,79.0,79.610001,65.32511099999999,1041100
2012-02-08,81.059998,81.150002,80.639999,81.050003,66.506721,1049400
2012-02-09,81.339996,81.5,80.610001,80.879997,66.367241,701400
2012-02-10,78.940002,79.040001,78.160004,78.389999,64.32403599999999,707800
2012-02-13,78.800003,79.160004,78.779999,78.910004,64.75074000000001,377800
2012-02-14,79.870003,80.0,79.57,80.0,65.645134,573700
2012-02-15,82.900002,83.089996,82.379997,82.559998,67.745773,954300
2012-02-16,83.010002,83.720001,82.839996,83.650002,68.640213,1599600
2012-02-17,83.75,83.800003,83.120003,83.360001,68.402245,305600
